mm,N,sec,mm/mm,sec.1,Stress,Sample Type,Sample Number,Cross Section,Sample ID
12.8393452614546,2.88144087791443,15.4119997024536,0.174228996038437,19.9995002746582,0.3001500914494198,laser-oven,2,9.6,laser-oven_2
12.9231447353959,2.43828439712524,15.5120000839233,0.175374001264572,19.9995002746582,0.2539879580338792,laser-oven,2,9.6,laser-oven_2
13.08966986835,2.58461689949036,15.7119998931885,0.17815500497818,20.199499130249,0.26923092703024587,laser-oven,2,9.6,laser-oven_2
13.173290528357,2.60359048843384,15.8120002746582,0.179562002420425,20.3995990753174,0.2712073425451917,laser-oven,2,9.6,laser-oven_2
13.2563747465611,2.75471782684326,15.9119997024536,0.180584996938705,20.4995002746582,0.28694977362950624,laser-oven,2,9.6,laser-oven_2
13.3395185694098,2.67205214500427,16.011999130249,0.181784003973007,20.4995002746582,0.2783387651046115,laser-oven,2,9.6,laser-oven_2
13.4232575073838,2.36600875854492,16.1119995117188,0.182560995221138,20.699499130249,0.24645924568176253,laser-oven,2,9.6,laser-oven_2
13.5064013302326,2.83899354934692,16.2119998931885,0.183836996555328,20.699499130249,0.2957284947236375,laser-oven,2,9.6,laser-oven_2
13.5897239670157,2.26242685317993,16.3120002746582,0.184742003679276,20.8994998931885,0.23566946387290938,laser-oven,2,9.6,laser-oven_2
13.6729273945093,2.86958980560303,16.4120006561279,0.185689002275467,20.9995002746582,0.29891560475031564,laser-oven,2,9.6,laser-oven_2
13.7567268684506,2.68000102043152,16.511999130249,0.186888992786407,21.0995006561279,0.2791667729616167,laser-oven,2,9.6,laser-oven_2
13.8399302959442,2.64094734191895,16.6119995117188,0.187767997384071,21.1993999481201,0.27509868144989064,laser-oven,2,9.6,laser-oven_2
13.92319239676,2.35852861404419,16.7119998931885,0.189067006111145,21.1993999481201,0.24568006396293646,laser-oven,2,9.6,laser-oven_2
14.0063958242536,2.45740175247192,16.8120002746582,0.190155997872353,21.3994998931885,0.255979349215825,laser-oven,2,9.6,laser-oven_2
14.0895396471024,2.51795530319214,16.9120006561279,0.191313996911049,21.3994998931885,0.26228701074918126,laser-oven,2,9.6,laser-oven_2
14.172981493175,2.65670132637024,17.011999130249,0.192552998661995,21.5995006561279,0.2767397214969,laser-oven,2,9.6,laser-oven_2
14.2565425485373,2.61329126358032,17.1119995117188,0.19420599937439,21.699499130249,0.27221783995628335,laser-oven,2,9.6,laser-oven_2
14.3395671620965,2.06511044502258,17.2119998931885,0.195474997162819,21.7994995117188,0.21511567135651874,laser-oven,2,9.6,laser-oven_2
14.4229494035244,2.83184957504272,17.3120002746582,0.196709007024765,21.8994998931885,0.2949843307336167,laser-oven,2,9.6,laser-oven_2
14.5060336217284,2.55270457267761,17.4120006561279,0.197800993919373,21.8994998931885,0.2659067263205844,laser-oven,2,9.6,laser-oven_2
14.5899513736367,2.08947515487671,17.511999130249,0.199074000120163,22.0995006561279,0.21765366196632396,laser-oven,2,9.6,laser-oven_2
14.6727375686169,2.8630268573761,17.6119995117188,0.200260996818542,22.0995006561279,0.2982319643100104,laser-oven,2,9.6,laser-oven_2
14.7560006007552,2.43661999702454,17.7119998931885,0.201546996831894,22.2994995117188,0.2538145830233896,laser-oven,2,9.6,laser-oven_2
14.8398596793413,2.50395154953003,17.8120002746582,0.202415004372597,22.3995990753174,0.26082828640937816,laser-oven,2,9.6,laser-oven_2
14.9228842929006,2.36577153205872,17.9120006561279,0.203731998801231,22.3995990753174,0.24643453458945,laser-oven,2,9.6,laser-oven_2
15.0063848122954,2.77258706092834,18.011999130249,0.204714000225067,22.5993995666504,0.2888111521800354,laser-oven,2,9.6,laser-oven_2
15.089588239789,3.08284282684326,18.1119995117188,0.205722004175186,22.5993995666504,0.32112946112950624,laser-oven,2,9.6,laser-oven_2
15.1727320626378,3.13780879974365,18.2119998931885,0.206991001963615,22.7994995117188,0.3268550833066302,laser-oven,2,9.6,laser-oven_2
15.2564123272896,2.83678579330444,18.3120002746582,0.208027005195618,22.8994998931885,0.2954985201358792,laser-oven,2,9.6,laser-oven_2
15.3398532420397,2.99827694892883,18.4120006561279,0.209264993667603,22.9993991851807,0.31232051551341977,laser-oven,2,9.6,laser-oven_2
15.423116274178,3.07552123069763,18.511999130249,0.210243001580238,23.0995006561279,0.3203667948643365,laser-oven,2,9.6,laser-oven_2
15.5062600970268,3.62809276580811,18.6119995117188,0.211548000574112,23.0995006561279,0.3779263297716781,laser-oven,2,9.6,laser-oven_2
15.5895231291652,2.7802369594574,18.7119998931885,0.212900996208191,23.2994003295898,0.28960801661014585,laser-oven,2,9.6,laser-oven_2
15.6730245798826,3.10243844985962,18.8120002746582,0.214056998491287,23.2994003295898,0.3231706718603771,laser-oven,2,9.6,laser-oven_2
15.7565847039223,3.06668639183044,18.9120006561279,0.215176999568939,23.4995002746582,0.3194464991490042,laser-oven,2,9.6,laser-oven_2
15.8397890627384,2.7341902256012,19.011999130249,0.21662500500679,23.5995006561279,0.28481148183345834,laser-oven,2,9.6,laser-oven_2
15.9226935356855,3.18644189834595,19.1119995117188,0.217883005738258,23.6993999481201,0.33192103107770315,laser-oven,2,9.6,laser-oven_2
16.0063747316599,3.07487010955811,19.2119998931885,0.219145998358727,23.7994003295898,0.3202989697456365,laser-oven,2,9.6,laser-oven_2
16.0896368324757,3.60844016075134,19.3120002746582,0.220286995172501,23.7994003295898,0.37587918341159793,laser-oven,2,9.6,laser-oven_2
16.172781586647,3.45436763763428,19.4120006561279,0.221613004803658,23.9993991851807,0.35982996225357083,laser-oven,2,9.6,laser-oven_2
16.2564609199762,3.60904717445374,19.511999130249,0.222877994179726,24.0993995666504,0.3759424140055979,laser-oven,2,9.6,laser-oven_2
16.3396634161472,2.97012209892273,19.6119995117188,0.224125996232033,24.1993999481201,0.30938771863778436,laser-oven,2,9.6,laser-oven_2
16.4231061935425,3.30141973495483,19.7119998931885,0.225197002291679,24.2994003295898,0.3438978890577948,laser-oven,2,9.6,laser-oven_2
16.5065471082926,3.26096177101135,19.8120002746582,0.226107999682426,24.2994003295898,0.3396835178136823,laser-oven,2,9.6,laser-oven_2
16.589691862464,3.29859018325806,19.9120006561279,0.227357000112534,24.4995002746582,0.3436031440893813,laser-oven,2,9.6,laser-oven_2
16.6731327772141,3.05740237236023,20.011999130249,0.22834700345993,24.4995002746582,0.318479413787524,laser-oven,2,9.6,laser-oven_2
